平台,link,品牌,产品,型号,类别,价格,总评价数,好评率,好评数,中评数,差评数,追评数,晒图数,标题,产品ID,抓取时间
京东,https://item.jd.com/14024654279.html,千山,千山成人电动牙刷,【全机身防水】千山 成人声波电动牙刷男女士软毛智能儿童电动牙刷 软毛白色 4支装,家用电器,68.80,3300,0.99,3300,5,6,10,90,"全机身防水】千山 ', '声波', '男女士软毛智能儿童', ' 软毛白色 4支装",14024654279,2018-05-17 23:54:34
京东,https://item.jd.com/15506168709.html,华帝（VATTI）,华帝（VATTI）成人电动牙刷,华帝（VATTI） 【终生送刷头】电动牙刷UV消毒灯YS-005自动成人家用充电超声波 黑色,家用电器,229.00,100,0.98,100,1,1,0,10,"华帝（VATTI） 【终生送刷头】', 'UV消毒灯YS-005自动', '家用充电超声波 黑色",15506168709,2018-05-17 23:54:34
京东,https://item.jd.com/20684555733.html,欧乐仕（O-Star）,欧乐仕（O-Star）成人电动牙刷,欧乐仕（O-Star）  电动牙刷成人B1智能声波震软毛刷头夫妻情侣 白色套装,家用电器,198.00,5900,0.99,5900,6,20,6,30,"欧乐仕（O-Star）  ', 'B1智能声波震软毛刷头夫妻情侣 白色套装",20684555733,2018-05-17 23:54:34
京东,https://item.jd.com/19197342978.html,神奇牙刷,神奇牙刷成人电动牙刷,神奇牙刷 超声波电动牙刷 成人儿童无线快速充电 声波振动美白牙齿 防水软毛送4只刷头 神奇牙刷 S1 白色（京东仓发货）,家用电器,199.00,100,1.0,100,0,0,1,10,"神奇', ' 超声波', ' ', '儿童无线快速充电 声波振动美白牙齿 防水软毛送4只刷头 神奇', ' S1 白色（京东仓发货",19197342978,2018-05-17 23:54:34
京东,https://item.jd.com/10379775210.html,亮星（LIANGXING）,亮星（LIANGXING）成人电动牙刷,亮星（LIANGXING） 亮星A39PLUS声波电动牙刷成人儿童家用感应充电式 天蓝色,家用电器,59.90,1600,0.98,1500,10,8,8,100,"亮星（LIANGXING） 亮星A39PLUS声波', '儿童家用感应充电式 天蓝色",10379775210,2018-05-17 23:54:34
京东,https://item.jd.com/11254719011.html,同同家（TTJ）,同同家（TTJ）成人电动牙刷,同同家（TTJ） 声波儿童电动牙刷成人T6 上班族充电式震动牙刷 杜邦软刷毛刷头自动牙刷 浅灰,家用电器,179.00,400,0.99,400,2,1,0,20,"同同家（TTJ） 声波儿童', 'T6 上班族充电式震动', ' 杜邦软刷毛刷头自动', ' 浅灰",11254719011,2018-05-17 23:54:34
京东,https://item.jd.com/15646738935.html,西屋（Westinghouse）,西屋（Westinghouse）成人电动牙刷,西屋（Westinghouse） 美国电动牙刷成人充电式情侣自动声波牙刷智能儿童牙刷头 WT-301P（粉）专用原装刷头,家用电器,129.00,200,1.0,200,0,0,0,3,"西屋（Westinghouse） 美国', '充电式情侣自动声波', '智能儿童', '头 WT-301P（粉）专用原装刷头",15646738935,2018-05-17 23:54:34
京东,https://item.jd.com/16803097673.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷成人声波电动牙刷自动牙刷钻石亮白系列 HX9352/04 黑钻,家用电器,1299.00,300,0.99,300,1,2,4,40,"飞利浦（PHILIPS） ', '声波', '自动', '钻石亮白系列 HX9352/04 黑钻",16803097673,2018-05-17 23:54:34
京东,https://item.jd.com/17214877565.html,力博得（LEBOND）,力博得（LEBOND）成人电动牙刷,【情人节礼物】力博得（LEBOND）新款智能电动牙刷成人美白情侣家用声波震动充电式便携盒软毛刷 防水 訫蓝,家用电器,239.00,200,0.99,200,0,1,2,8,"情人节礼物】力博得（LEBOND）新款智能', '美白情侣家用声波震动充电式便携盒软毛刷 防水 訫蓝",17214877565,2018-05-17 23:54:34
京东,https://item.jd.com/16876429299.html,博皓（prooral）,博皓（prooral）成人电动牙刷,博皓(prooral)2205旋转式电动牙刷感应充电双速双模智控机芯成人牙刷智能情侣电动牙刷配2刷头 2915牙刷头（2只装白色）,家用电器,29.00,21000,0.96,20000,400,300,90,2200,"博皓(prooral)2205旋转式', '感应充电双速双模智控机芯', '智能情侣', '配2刷头 2915', '头（2只装白色",16876429299,2018-05-17 23:54:34
京东,https://item.jd.com/12277673204.html,百灵,百灵成人电动牙刷,百灵 电动牙刷成人充电式旋转自动牙刷软毛家用防水牙刷K291 蓝色,家用电器,99.00,600,1.0,600,0,0,0,4,"百灵 ', '充电式旋转自动', '软毛家用防水', 'K291 蓝色",12277673204,2018-05-17 23:54:34
京东,https://item.jd.com/15339383540.html,小米（MI）,小米（MI）成人电动牙刷,【速发】小米（MI）电动牙刷 米家声波电动牙刷 充电式自动家用软毛成人儿童智能牙刷头 电动牙刷+牙刷头(三支装),家用电器,269.00,5700,0.99,5600,10,30,10,100,"速发】小米（MI）', ' 米家声波', ' 充电式自动家用软毛', '儿童智能', '头 ', '+', '头(三支装",15339383540,2018-05-17 23:54:34
京东,https://item.jd.com/18606104954.html,BlingBelle,BlingBelle成人电动牙刷,BlingBelle 德国贝儿硅胶电动牙刷成人 充电式声波震动贝尔电动牙刷 甜蜜情侣套装 蓝色1支+粉色1支,家用电器,175.00,1300,0.99,1300,5,5,3,80,"德国贝儿硅胶', ' 充电式声波震动贝尔', ' 甜蜜情侣套装 蓝色1支+粉色1支",18606104954,2018-05-17 23:54:34
京东,https://item.jd.com/10473172942.html,欧乐-B,欧乐-B成人电动牙刷,欧乐B(Oral-B) 多动向电池型成人电动牙刷 （颜色随机发) 欧乐B多动向1主体3刷头,家用电器,99.90,700,0.98,700,5,6,7,60,"欧乐B(Oral-B) 多动向电池型', ' （颜色随机发) 欧乐B多动向1主体3刷头",10473172942,2018-05-17 23:54:34
京东,https://item.jd.com/10380186598.html,亮星（LIANGXING）,亮星（LIANGXING）成人电动牙刷,亮星（LIANGXING） 亮星SN902成人声波自动电动牙刷无线感应充电IPX7级防水 天蓝,家用电器,59.50,800,0.97,800,10,8,4,50,"亮星（LIANGXING） 亮星SN902', '声波自动', '无线感应充电IPX7级防水 天蓝",10380186598,2018-05-17 23:54:34
京东,https://item.jd.com/13036314995.html,松下（Panasonic）,松下（Panasonic）成人电动牙刷,松下（Panasonic） EW-DM71 声波充电式电动牙刷 成人 全身水洗 EW-DM71-W,家用电器,223.00,100,1.0,100,0,0,1,10,"松下（Panasonic） EW-DM71 声波充电式', ' ', ' 全身水洗 EW-DM71-W",13036314995,2018-05-17 23:54:35
京东,https://item.jd.com/11165759684.html,素士,素士成人电动牙刷,素士 Soocare/声波电动牙刷 成人 小米生态链电动牙刷充电式声波震动牙刷防水 X3 【黑金版】素士X3电动牙刷,家用电器,299.00,4600,0.98,4500,40,40,50,600,"素士 Soocare/声波', ' ', ' 小米生态链', '充电式声波震动', '防水 X3 【黑金版】素士X3",11165759684,2018-05-17 23:54:35
京东,https://item.jd.com/11889661466.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷 成人家用充电式牙刷 全身水洗 声波震动 深度清理齿缝 HX9312 典藏金钻版,家用电器,1099.00,400,0.98,400,4,2,2,30,"飞利浦（PHILIPS） ', ' ', '家用充电式', ' 全身水洗 声波震动 深度清理齿缝 HX9312 典藏金钻版",11889661466,2018-05-17 23:54:35
京东,https://item.jd.com/10848586392.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷HX6730/02成人充电式声波震动牙刷雾白同6761,家用电器,378.00,200,0.99,200,1,1,1,10,"飞利浦（PHILIPS） ', 'HX6730/02', '充电式声波震动', '雾白同6761",10848586392,2018-05-17 23:54:35
京东,https://item.jd.com/14144885885.html,美看（Mcomb）,美看（Mcomb）成人电动牙刷,香港Mcomb（美看）声波电动牙刷 成人 三档模式美白牙齿 智能定时 防水感应式充电 情侣电动牙刷 粉色女神款,家用电器,169.00,600,0.99,600,1,0,1,10,"香港Mcomb（美看）声波', ' ', ' 三档模式美白牙齿 智能定时 防水感应式充电 情侣', ' 粉色女神款",14144885885,2018-05-17 23:54:35
京东,https://item.jd.com/15938239416.html,米家（MIJIA）,米家（MIJIA）成人电动牙刷,米家 （MIJIA ）小米声波电动牙刷成人充电式磁悬浮声波震动马达 可替换刷头 智能电动牙刷 米家电动牙刷头(通用型)三支装,家用电器,79.00,2400,0.98,2400,20,20,10,100,"米家 （MIJIA ）小米声波', '充电式磁悬浮声波震动马达 可替换刷头 智能', ' 米家', '头(通用型)三支装",15938239416,2018-05-17 23:54:35
京东,https://item.jd.com/19157957173.html,千山,千山成人电动牙刷,【全机身防水】千山 成人声波电动牙刷男女士软毛智能儿童电动牙刷 升级款5档  经典黑,家用电器,228.80,3300,0.99,3300,5,6,10,90,"全机身防水】千山 ', '声波', '男女士软毛智能儿童', ' 升级款5档  经典黑",19157957173,2018-05-17 23:54:35
京东,https://item.jd.com/10846105259.html,JOYJULY,JOYJULY成人电动牙刷,JOYJULY 【5挡智控】韩国电动牙刷成人声波充电式震动智能牙刷 雅典黑,家用电器,178.00,400,0.98,400,4,2,3,70,"挡智控】韩国', '声波充电式震动智能', ' 雅典黑",10846105259,2018-05-17 23:54:35
京东,https://item.jd.com/25714669101.html,ApiYoo,ApiYoo成人电动牙刷,ApiYoo 艾优 电动牙刷 Y8成人声波震动牙刷  情侣款男女通用 樱花粉 成人,家用电器,298.00,1100,0.99,1100,0,1,5,50,"艾优 ', ' Y8', '声波震动', '  情侣款男女通用 樱花粉",25714669101,2018-05-17 23:54:35
京东,https://item.jd.com/17289674821.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷 HX3216 成人充电式声波式震动牙刷自然洁白 HX3216绿色,家用电器,189.00,200,0.99,200,1,1,1,10,"飞利浦（PHILIPS） ', ' HX3216 ', '充电式声波式震动', '自然洁白 HX3216绿色",17289674821,2018-05-17 23:54:35
京东,https://item.jd.com/11554276046.html,欧乐-B,欧乐-B成人电动牙刷,欧乐-B 博朗（Braun）欧乐B D16系列3D声波智能成人电动牙刷 粉红女郎1主体2刷头,家用电器,298.00,20,1.0,20,0,0,0,0,"欧乐-B 博朗（Braun）欧乐B D16系列3D声波智能', ' 粉红女郎1主体2刷头",11554276046,2018-05-17 23:54:35
京东,https://item.jd.com/12777738080.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷HX6616成人充电声波震动牙刷牙龈护理型HX6620 情侣套装（优雅靓紫+眩感冰蓝）,家用电器,728.00,100,1.0,100,0,0,0,9,"飞利浦（PHILIPS） ', 'HX6616', '充电声波震动', '牙龈护理型HX6620 情侣套装（优雅靓紫+眩感冰蓝",12777738080,2018-05-17 23:54:35
京东,https://item.jd.com/16587220602.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷成人声波电动牙刷自动牙刷钻石亮白系列 HX9362/67 粉钻,家用电器,1299.00,300,0.99,300,1,2,4,40,"飞利浦（PHILIPS） ', '声波', '自动', '钻石亮白系列 HX9362/67 粉钻",16587220602,2018-05-17 23:54:35
京东,https://item.jd.com/17289674820.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷 HX3216 成人充电式声波式震动牙刷自然洁白 HX3216蓝色,家用电器,189.00,200,0.99,200,1,1,1,10,"飞利浦（PHILIPS） ', ' HX3216 ', '充电式声波式震动', '自然洁白 HX3216蓝色",17289674820,2018-05-17 23:54:35
京东,https://item.jd.com/25536367188.html,Joincare,Joincare成人电动牙刷,Joincare 电动牙刷成人家用充电式旋转式儿童智能亮白震动自动定时提醒防水软毛情侣 静谧蓝（共9只原装刷头）,家用电器,229.00,600,1.0,600,0,0,6,40,家用充电式旋转式儿童智能亮白震动自动定时提醒防水软毛情侣 静谧蓝（共9只原装刷头,25536367188,2018-05-17 23:54:35
京东,https://item.jd.com/1776415051.html,舒宁,舒宁成人电动牙刷,舒宁 Supecare/电动牙刷成人儿童正畸声波震动软毛自动牙刷 天空蓝色,家用电器,69.00,300,0.97,200,5,4,0,10,"舒宁 Supecare/', '儿童正畸声波震动软毛自动', ' 天空蓝色",1776415051,2018-05-17 23:54:35
京东,https://item.jd.com/26847567225.html,欧乐-B,欧乐-B成人电动牙刷,欧乐-B 博朗（BRAUN）欧乐B D12成人2D旋转家用电动牙刷 草木型1主体1刷头1刷头盖,家用电器,119.00,70,1.0,70,0,0,2,8,"欧乐-B 博朗（BRAUN）欧乐B D12', '2D旋转家用', ' 草木型1主体1刷头1刷头盖",26847567225,2018-05-17 23:54:36
京东,https://item.jd.com/22691127512.html,罗曼（ROAMAN）,罗曼（ROAMAN）成人电动牙刷,罗曼（ROAMAN） ROAMAN/罗曼声波电动牙刷成人充电式家用萌牙软毛自动防水 金色,家用电器,199.00,500,0.99,500,1,2,2,10,"罗曼（ROAMAN） ROAMAN/罗曼声波', '充电式家用萌牙软毛自动防水 金色",22691127512,2018-05-17 23:54:36
京东,https://item.jd.com/17161252852.html,罗曼（ROAMAN）,罗曼（ROAMAN）成人电动牙刷,罗曼（ROAMAN） ROAMAN/罗曼电动牙刷成人自动牙刷充电式家用儿童防水软毛 金色,家用电器,269.00,1500,0.99,1500,3,2,4,40,"罗曼（ROAMAN） ROAMAN/罗曼', '自动', '充电式家用儿童防水软毛 金色",17161252852,2018-05-17 23:54:36
京东,https://item.jd.com/24422813923.html,HYUNDAI,HYUNDAI成人电动牙刷,HYUNDAI 韩国现代电动牙刷成人声波震动牙刷软毛智能全自动牙刷情侣款防水静音送牙刷头 紫罗兰,家用电器,199.00,200,1.0,200,0,0,4,20,"韩国现代', '声波震动', '软毛智能全自动', '情侣款防水静音送', '头 紫罗兰",24422813923,2018-05-17 23:54:36
京东,https://item.jd.com/23274528698.html,千山,千山成人电动牙刷,【全机身防水】千山 成人声波电动牙刷男女士软毛智能儿童电动牙刷 电动牙刷底座 通用,家用电器,12.80,3300,0.99,3300,5,6,10,90,"全机身防水】千山 ', '声波', '男女士软毛智能儿童', ' ', '底座 通用",23274528698,2018-05-17 23:54:36
京东,https://item.jd.com/10673325829.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS）电动牙刷HX3226成人充电式声波震动牙龈呵护型牙刷 HX3226/51酷朗黑,家用电器,229.00,11000,0.99,10000,20,20,100,2500,"飞利浦（PHILIPS）', 'HX3226', '充电式声波震动牙龈呵护型', ' HX3226/51酷朗黑",10673325829,2018-05-17 23:54:36
京东,https://item.jd.com/28029540409.html,末上（MOSHANG）,末上（MOSHANG）成人电动牙刷,末上(MOSHANG）电动牙刷成人牙刷头洁牙充电式电动声波牙刷自动牙刷 少女粉(顺丰发货)(促销款),家用电器,49.90,2,1.0,2,0,0,0,1,"末上(MOSHANG）', '头洁牙充电式', '声波', '自动', ' 少女粉(顺丰发货)(促销款",28029540409,2018-05-17 23:54:36
京东,https://item.jd.com/10883889794.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷HX6761/03亮白型成人充电式声波震动牙刷粉色,家用电器,359.00,400,0.99,400,0,1,1,60,"飞利浦（PHILIPS） ', 'HX6761/03亮白型', '充电式声波震动', '粉色",10883889794,2018-05-17 23:54:36
京东,https://item.jd.com/17161252851.html,罗曼（ROAMAN）,罗曼（ROAMAN）成人电动牙刷,罗曼（ROAMAN） ROAMAN/罗曼电动牙刷成人自动牙刷充电式家用儿童防水软毛 银色,家用电器,269.00,1500,0.99,1500,3,2,4,40,"罗曼（ROAMAN） ROAMAN/罗曼', '自动', '充电式家用儿童防水软毛 银色",17161252851,2018-05-17 23:54:36
京东,https://item.jd.com/17137897540.html,萌牙家（m-teeth）,萌牙家（m-teeth）成人电动牙刷,萌牙家（m-teeth） 萌牙家电动牙刷m-sj301-2简净型成人充电式声波震动软毛牙刷 银霜白,家用电器,239.00,1400,0.99,1400,2,6,7,80,"萌牙家（m-teeth） 萌牙家', 'm-sj301-2简净型', '充电式声波震动软毛', ' 银霜白",17137897540,2018-05-17 23:54:36
京东,https://item.jd.com/10379775212.html,亮星（LIANGXING）,亮星（LIANGXING）成人电动牙刷,亮星（LIANGXING） 亮星A39PLUS声波电动牙刷成人儿童家用感应充电式 优雅粉,家用电器,59.90,1600,0.98,1500,10,8,8,100,"亮星（LIANGXING） 亮星A39PLUS声波', '儿童家用感应充电式 优雅粉",10379775212,2018-05-17 23:54:36
京东,https://item.jd.com/21475189103.html,欧乐仕（O-Star）,欧乐仕（O-Star）成人电动牙刷,欧乐仕（O-Star）  电动牙刷成人B1智能声波震软毛刷头夫妻情侣 旅行便携盒,家用电器,49.00,5900,0.99,5900,6,20,6,30,"欧乐仕（O-Star）  ', 'B1智能声波震软毛刷头夫妻情侣 旅行便携盒",21475189103,2018-05-17 23:54:36
京东,https://item.jd.com/11165737744.html,素士,素士成人电动牙刷,素士 Soocare/声波电动牙刷 成人 小米生态链电动牙刷充电式声波震动牙刷防水 X3 【黑色】通用型清洁刷头1盒装,家用电器,59.00,4600,0.98,4500,40,40,50,600,"素士 Soocare/声波', ' ', ' 小米生态链', '充电式声波震动', '防水 X3 【黑色】通用型清洁刷头1盒装",11165737744,2018-05-17 23:54:36
京东,https://item.jd.com/27011764962.html,松下电器（panasonic）,松下电器（panasonic）成人电动牙刷,松下（Panasonic） EW-DM71 声波充电式电动牙刷 成人 全身水洗 替换刷头WEW0972,家用电器,60.00,20,1.0,20,0,0,0,1,"松下（Panasonic） EW-DM71 声波充电式', ' ', ' 全身水洗 替换刷头WEW0972",27011764962,2018-05-17 23:54:36
京东,https://item.jd.com/24162752620.html,丹龙,丹龙成人电动牙刷,丹龙 （DanLong）声波电动牙刷成人 家用充电式情侣智能超软毛自动牙刷 牛奶白 升级6刷头,家用电器,159.90,800,0.99,800,2,0,9,50,"丹龙 （DanLong）声波', ' 家用充电式情侣智能超软毛自动', ' 牛奶白 升级6刷头",24162752620,2018-05-17 23:54:37
京东,https://item.jd.com/10036855236.html,TOMONI,TOMONI成人电动牙刷,日本进口minimum电动牙刷儿童电动牙刷成人声波震动自动牙刷婴幼儿电池式电动牙刷 DBK-1儿童刷头2枚装,家用电器,79.00,400,0.96,400,7,6,1,10,"日本进口minimum', '儿童', '声波震动自动', '婴幼儿电池式', ' DBK-1儿童刷头2枚装",10036855236,2018-05-17 23:54:37
京东,https://item.jd.com/26364574205.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS）电动牙刷HX6761/03亮白型成人充电式声波震动牙刷,家用电器,345.00,0,1.0,0,0,0,0,0,"飞利浦（PHILIPS）', 'HX6761/03亮白型', '充电式声波震动",26364574205,2018-05-17 23:54:37
京东,https://item.jd.com/1774223851.html,博皓（prooral）,博皓（prooral）成人电动牙刷,博皓（prooral） 2030T电动牙刷成人声波充电式电动牙刷套装美白声波牙刷情侣款牙刷标配4刷头 白色,家用电器,259.00,300,0.98,300,2,3,3,40,"博皓（prooral） 2030T', '声波充电式', '套装美白声波', '情侣款', '标配4刷头 白色",1774223851,2018-05-17 23:54:37
京东,https://item.jd.com/21647262721.html,小米（MI）,小米（MI）成人电动牙刷,华米声波电动牙刷成人家用AMAZFIT电震动充电式牙刷防水智能电动牙刷头套装 AMAZFIT智能声波电动牙刷,家用电器,399.00,90,0.97,90,0,2,0,4,"华米声波', '家用AMAZFIT电震动充电式', '防水智能', '头套装 AMAZFIT智能声波",21647262721,2018-05-17 23:54:37
京东,https://item.jd.com/13372028367.html,蓝韵（LANDWIND）,蓝韵（LANDWIND）成人电动牙刷,蓝韵5挡可调超声波智能震动电动牙刷 儿童成人都适用 充一次电 用三个月 白色,家用电器,269.00,50,1.0,50,0,0,0,1,"蓝韵5挡可调超声波智能震动', ' 儿童', '都适用 充一次电 用三个月 白色",13372028367,2018-05-17 23:54:37
京东,https://item.jd.com/27787792252.html,吉登（JIDENG）,吉登（JIDENG）成人电动牙刷,吉登(JIDENG)声波电动牙刷成人情侣家用软毛充电自动牙刷 蒂芙尼蓝-升级装4刷头,家用电器,149.00,200,0.99,200,0,1,1,20,"吉登(JIDENG)声波', '情侣家用软毛充电自动', ' 蒂芙尼蓝-升级装4刷头",27787792252,2018-05-17 23:54:37
京东,https://item.jd.com/19726498093.html,飞利浦（PHILIPS）,飞利浦（PHILIPS）成人电动牙刷,飞利浦（PHILIPS） 电动牙刷HX3216成人充电声波式震动牙刷智能净白牙齿3226 HX3226深蓝色,家用电器,198.00,600,0.99,600,0,1,2,30,"飞利浦（PHILIPS） ', 'HX3216', '充电声波式震动', '智能净白牙齿3226 HX3226深蓝色",19726498093,2018-05-17 23:54:37
京东,https://item.jd.com/10203847523.html,赛嘉（seago）,赛嘉（seago）成人电动牙刷,赛嘉（seago） 声波电动牙刷 成人两档变频软毛亮白洁齿声波牙刷 白 色,家用电器,68.00,1500,0.95,1400,30,30,10,100,"赛嘉（seago） 声波', ' ', '两档变频软毛亮白洁齿声波', ' 白 色",10203847523,2018-05-17 23:54:37
